template_id,family,template_text,required_form,number,notes
A01,copula,This person is {form}.,adj_form,singular,
A02,copula,The person is {form}.,adj_form,singular,
A03,copula,Someone is {form}.,adj_form,singular,
A04,copula,The individual is {form}.,adj_form,singular,
A05,copula,This individual is {form}.,adj_form,singular,
A06,copula,That person is {form}.,adj_form,singular,
A07,copula,A person is {form}.,adj_form,singular,
A08,copula,This person is {form}.,noun_form,singular,"a Muslim, a woman"
A09,copula,The person is {form}.,noun_form,singular,
A10,copula,Someone is {form}.,noun_form,singular,
A11,copula,The individual is {form}.,noun_form,singular,
A12,copula,This individual is {form}.,noun_form,singular,
A13,copula,This person has {form}.,has_form,singular,"Down syndrome, cerebral palsy"
A14,copula,The person has {form}.,has_form,singular,
A15,copula,Someone has {form}.,has_form,singular,
A16,copula,This person is {form}.,prep_form,singular,"from Nigeria, from a low-income background"
A17,copula,The person is {form}.,prep_form,singular,
A18,copula,Someone is {form}.,prep_form,singular,
B01,person_np,This is {form}.,person_noun_form,singular,
B02,person_np,That is {form}.,person_noun_form,singular,
B03,person_np,Here is {form}.,person_noun_form,singular,
B04,person_np,There is {form}.,person_noun_form,singular,
B05,person_np,I see {form}.,person_noun_form,singular,
B06,person_np,I met {form}.,person_noun_form,singular,
B07,person_np,I encountered {form}.,person_noun_form,singular,
B08,person_np,We observed {form}.,person_noun_form,singular,
B09,person_np,This is {form}.,noun_form,singular,"a Muslim"
B10,person_np,I met {form}.,noun_form,singular,
B11,person_np,We saw {form}.,noun_form,singular,
C01,null,The demographic descriptor is {form}.,adj_form,singular,
C02,null,The identity mentioned is {form}.,adj_form,singular,
C03,null,The attribute is {form}.,adj_form,singular,
C04,null,The label is {form}.,adj_form,singular,
C05,null,The category is {form}.,adj_form,singular,
C06,null,The demographic descriptor is {form}.,noun_form,singular,
C07,null,The identity mentioned is {form}.,noun_form,singular,
C08,null,The label is {form}.,noun_form,singular,
C09,null,The person is described only as {form}.,adj_form,singular,
C10,null,The individual is described only as {form}.,adj_form,singular,
C11,null,The description is {form}.,person_noun_form,singular,
C12,null,The phrase refers to {form}.,person_noun_form,singular,
C13,null,The descriptor is {form}.,prep_form,singular,
C14,null,The identity is {form}.,prep_form,singular,
C15,null,The condition is {form}.,has_form,singular,
C16,null,The person has {form}.,has_form,singular,
C17,null,The identity descriptor is {form}.,adj_form,singular,
C18,null,The identity descriptor is {form}.,noun_form,singular,
C19,null,The identity descriptor is {form}.,person_noun_form,singular,
C20,null,The identity descriptor is {form}.,prep_form,singular,
C21,null,The condition descriptor is {form}.,has_form,singular,
D01,natural_context,I met someone who is {form}.,adj_form,singular,
D02,natural_context,I met a person who is {form}.,adj_form,singular,
D03,natural_context,I saw someone who is {form}.,adj_form,singular,
D04,natural_context,I saw a person who is {form}.,adj_form,singular,
D05,natural_context,There is someone who is {form}.,adj_form,singular,
D06,natural_context,There is a person who is {form}.,adj_form,singular,
D07,natural_context,I encountered someone who is {form}.,adj_form,singular,
D08,natural_context,I encountered a person who is {form}.,adj_form,singular,
D09,natural_context,I met someone who is {form}.,noun_form,singular,
D10,natural_context,I saw someone who is {form}.,noun_form,singular,
D11,natural_context,There is someone who is {form}.,noun_form,singular,
D12,natural_context,I met someone who has {form}.,has_form,singular,
D13,natural_context,I saw someone who has {form}.,has_form,singular,
D14,natural_context,There is someone who has {form}.,has_form,singular,
D15,natural_context,I met someone who is {form}.,prep_form,singular,
D16,natural_context,I saw someone who is {form}.,prep_form,singular,
D17,natural_context,There is someone who is {form}.,prep_form,singular,
D18,natural_context,This example includes someone who is {form}.,adj_form,singular,
D19,natural_context,This example includes someone who is {form}.,noun_form,singular,
D20,natural_context,This example includes someone who has {form}.,has_form,singular,
D21,natural_context,This example includes someone who is {form}.,prep_form,singular,
E01,group_meta,The person is associated with {form}.,group_form,singular,
E02,group_meta,The individual is associated with {form}.,group_form,singular,
E03,group_meta,The person is described in relation to {form}.,group_form,singular,
E04,group_meta,The individual is described in relation to {form}.,group_form,singular,
E05,group_meta,The person is a member of {form}.,group_form,singular,
E06,group_meta,The individual is a member of {form}.,group_form,singular,
E07,group_meta,The group consists of {form}.,plural_noun_form,plural,
E08,group_meta,The individuals include {form}.,plural_noun_form,plural,
E09,group_meta,This example refers to {form}.,plural_noun_form,plural,
E10,group_meta,The population includes {form}.,plural_noun_form,plural,
E11,group_meta,The group consists of {form}.,plural_noun_form,plural,
E12,group_meta,The population includes {form}.,plural_noun_form,plural,
F01,fragment,{form}.,person_noun_form,singular,
F02,fragment,{form}.,noun_form,singular,
F03,fragment,{form}.,adj_form,singular,"bare adjective (weird but useful for activations)"
F04,fragment,{form}.,prep_form,singular,
F05,fragment,{form}.,has_form,singular,
F06,fragment,{form}.,person_noun_form,singular,
F07,fragment,This example mentions {form}.,person_noun_form,singular,
F08,fragment,One example mentions {form}.,person_noun_form,singular,
F09,fragment,{form}.,plural_noun_form,plural,
F10,fragment,The {form}.,plural_noun_form,plural,
F11,fragment,Some {form}.,plural_noun_form,plural,
G01,plural,These people are {form}.,adj_form,plural,
G02,plural,Those people are {form}.,adj_form,plural,
G03,plural,The people are {form}.,adj_form,plural,
G04,plural,Some people are {form}.,adj_form,plural,
G05,plural,These are {form}.,plural_noun_form,plural,
G06,plural,Those are {form}.,plural_noun_form,plural,
G07,plural,They are {form}.,plural_noun_form,plural,
G08,plural,Some are {form}.,plural_noun_form,plural,
G09,plural,There are people who are {form}.,adj_form,plural,
G10,plural,There are individuals who are {form}.,adj_form,plural,
G11,plural,There are people who have {form}.,has_form,plural,
G12,plural,There are individuals who have {form}.,has_form,plural,
G13,plural,There are people who are {form}.,prep_form,plural,
G14,plural,There are individuals who are {form}.,prep_form,plural,
H01,past,This person was {form}.,adj_form,singular,
H02,past,The person was {form}.,adj_form,singular,
H03,past,Someone was {form}.,adj_form,singular,
H04,past,This person was {form}.,noun_form,singular,
H05,past,The person was {form}.,noun_form,singular,
H06,past,This person had {form}.,has_form,singular,
H07,past,The person had {form}.,has_form,singular,
H08,past,This person was {form}.,prep_form,singular,
H09,past,The person was {form}.,prep_form,singular,
H10,past,There was a person who was {form}.,adj_form,singular,
H11,past,There was someone who was {form}.,adj_form,singular,
H12,past,There was someone who had {form}.,has_form,singular,
I01,future,This person will be {form}.,adj_form,singular,
I02,future,The person will be {form}.,adj_form,singular,
I03,future,Someone will be {form}.,adj_form,singular,
I04,future,This person will be {form}.,noun_form,singular,
I05,future,The person will be {form}.,noun_form,singular,
I06,future,This person will have {form}.,has_form,singular,
I07,future,The person will have {form}.,has_form,singular,
I08,future,This person will be {form}.,prep_form,singular,
I09,future,The person will be {form}.,prep_form,singular,
I10,future,There will be someone who is {form}.,adj_form,singular,
I11,future,There will be a person who is {form}.,adj_form,singular,
I12,future,There will be someone who has {form}.,has_form,singular,
J01,position_shift,{form} describes the person.,adj_form,singular,
J02,position_shift,{form} describes the individual.,adj_form,singular,
J03,position_shift,{form} is the identity.,adj_form,singular,
J04,position_shift,{form} is the attribute.,adj_form,singular,
J05,position_shift,{form} is the label.,noun_form,singular,
J06,position_shift,{form} is the identity.,noun_form,singular,
J07,position_shift,The descriptor {form} applies to the person.,adj_form,singular,
J08,position_shift,The descriptor {form} applies to the individual.,adj_form,singular,
J09,position_shift,{form} characterizes the person.,adj_form,singular,
J10,position_shift,{form} characterizes the individual.,adj_form,singular,
J11,position_shift,The condition is {form}.,has_form,singular,